Id,Y
16384,0.9963277
16385,0.9845993
16386,0.9999932
16387,0.99999774
16388,0.9997316
16389,0.9999974
16390,0.99806887
16391,0.99235654
16392,0.99999297
16393,0.9999908
16394,0.99982053
16395,0.9990245
16396,0.9995173
16397,0.9998092
16398,0.99844056
16399,0.9999896
16400,0.9998105
16401,0.9999826
16402,0.99986935
16403,0.99974865
16404,0.9906945
16405,0.9992286
16406,0.99841917
16407,0.9931892
16408,0.99983764
16409,0.9998938
16410,0.9993605
16411,0.98928714
16412,0.9995864
16413,0.9982988
16414,0.999915
16415,0.99983263
16416,0.9998903
16417,0.9998325
16418,0.999969
16419,0.99983096
16420,0.9999871
16421,0.99273694
16422,0.9999007
16423,0.99991584
16424,0.9999951
16425,0.9999155
16426,0.99993694
16427,0.999995
16428,0.9996202
16429,0.9992981
16430,0.99871135
16431,0.9998779
16432,0.9999944
16433,0.9999894
16434,0.9999522
16435,0.9995858
16436,0.9999957
16437,0.99954814
16438,0.998432
16439,0.99999166
16440,0.99715096
16441,0.9999138
16442,0.9999964
16443,0.9999907
16444,0.023018941
16445,0.99968445
16446,0.9997633
16447,0.99889934
16448,0.9998605
16449,0.9956631
16450,0.99320906
16451,0.9998073
16452,0.9995925
16453,0.9985985
16454,0.9995333
16455,0.9994142
16456,0.99993527
16457,0.9999739
16458,0.9989729
16459,0.99992955
16460,0.9999968
16461,0.999997
16462,0.99889696
16463,0.9999461
16464,0.99999607
16465,0.9999893
16466,0.99843866
16467,0.9992093
16468,0.9963225
16469,0.99715996
16470,0.99999774
16471,0.99991846
16472,0.9998658
16473,0.9998541
16474,0.9998246
16475,0.99995124
16476,0.99876785
16477,0.9998703
16478,0.9986222
16479,0.9999505
16480,0.9998797
16481,0.99697936
16482,0.99999774
16483,0.98667985
16484,0.999871
16485,0.9986141
16486,0.9999939
16487,0.99866414
16488,0.040838264
16489,0.9984341
16490,0.99888617
16491,0.9999958
16492,0.9991184
16493,0.9999893
16494,0.9983205
16495,0.99934787
16496,0.99997926
16497,0.9995585
16498,0.9999969
16499,0.99999034
16500,0.991052
16501,0.9866781
16502,0.9993649
16503,0.99815947
16504,0.9991679
16505,0.9999976
