Id,Y
16384,0.858931
16385,0.9684502
16386,0.99998116
16387,0.9999001
16388,0.9917418
16389,0.9997931
16390,0.93212545
16391,0.98331386
16392,0.9995284
16393,0.9998148
16394,0.99848574
16395,0.9860416
16396,0.9958897
16397,0.99059063
16398,0.9727381
16399,0.9997476
16400,0.9965071
16401,0.9993666
16402,0.9969152
16403,0.9903562
16404,0.95161444
16405,0.9777579
16406,0.9856655
16407,0.8999567
16408,0.99965644
16409,0.9972339
16410,0.9637592
16411,0.9625374
16412,0.99786645
16413,0.960945
16414,0.9967062
16415,0.99286824
16416,0.99754804
16417,0.9955712
16418,0.999303
16419,0.9963153
16420,0.9995999
16421,0.82985
16422,0.9997693
16423,0.9962633
16424,0.99989915
16425,0.9995523
16426,0.9996748
16427,0.9997248
16428,0.9985324
16429,0.99854183
16430,0.9835851
16431,0.99633884
16432,0.9997533
16433,0.99915814
16434,0.9973482
16435,0.99664646
16436,0.99966145
16437,0.98298717
16438,0.95364255
16439,0.9996401
16440,0.9370467
16441,0.99646854
16442,0.9999012
16443,0.999877
16444,0.028921919
16445,0.9957047
16446,0.9787619
16447,0.9825355
16448,0.9980369
16449,0.98007935
16450,0.9707035
16451,0.9983084
16452,0.97582746
16453,0.9930998
16454,0.9931599
16455,0.9873116
16456,0.9973974
16457,0.99937785
16458,0.97371054
16459,0.999097
16460,0.99985826
16461,0.9999248
16462,0.9524453
16463,0.9985977
16464,0.999966
16465,0.9999132
16466,0.96254385
16467,0.9642086
16468,0.9204858
16469,0.9502091
16470,0.99991345
16471,0.9958554
16472,0.9989697
16473,0.9962049
16474,0.9860831
16475,0.9970497
16476,0.97473735
16477,0.99720216
16478,0.98481095
16479,0.9991303
16480,0.99535024
16481,0.9438533
16482,0.99995494
16483,0.9801768
16484,0.99068975
16485,0.98118895
16486,0.999884
16487,0.9858774
16488,0.015608897
16489,0.98841035
16490,0.95968294
16491,0.99985087
16492,0.96614444
16493,0.9992242
16494,0.98598623
16495,0.99757963
16496,0.9993585
16497,0.9835491
16498,0.9998368
16499,0.99958843
16500,0.9748409
16501,0.9084658
16502,0.97225744
16503,0.9898253
16504,0.98876464
16505,0.9996649
16506,0.94299453
16507,0.9709891
16508,0.99660575
16509,0.91721356
16510,0.15032549
16511,0.984968
16512,0.9998436
16513,0.9995654
16514,0.94138265
16515,0.94680715
16516,0.97103465
16517,0.69481045
16518,0.97236854
16519,0.99000615
16520,0.92820376
16521,0.7697776
16522,0.9126838
16523,0.99175465
16524,0.9966583
16525,0.9754367
16526,0.9989656
16527,0.99319047
16528,0.99599636
16529,0.9953271
16530,0.9900237
16531,0.57282
16532,0.99984455
16533,0.9660068
16534,0.9998406
16535,0.9981243
16536,0.98431224
16537,0.97342616
16538,0.99331117
16539,0.9708086
16540,0.97825885
16541,0.9421715
16542,0.9996088
16543,0.9019332
16544,0.99261814
16545,0.9995498
16546,0.33896938
16547,0.8592137
16548,0.98494405
16549,0.99484694
16550,0.9620828
16551,0.9776202
16552,0.99799997
16553,0.9878507
16554,0.98647434
16555,0.9948573
16556,0.983163
16557,0.9732432
16558,0.99469817
16559,0.976487
16560,0.9482691
16561,0.9864842
16562,0.64751697
16563,0.98140097
16564,0.8576937
16565,0.97571737
16566,0.9956232
16567,0.7807288
16568,0.9968876
16569,0.9985948
16570,0.95152
16571,0.99972636
16572,0.90553075
16573,0.9387506
16574,0.9969246
16575,0.9940209
16576,0.99434894
16577,0.95886767
16578,0.9994867
16579,0.9842904
16580,0.9010161
16581,0.006911977
16582,0.9449493
16583,0.9942181
16584,0.98615557
16585,0.9999316
16586,0.9999726
16587,0.9923248
16588,0.9992537
16589,0.9998487
16590,0.9998598
16591,0.98102623
16592,0.92701256
16593,0.9998883
16594,0.98734367
16595,0.9728084
16596,0.9974528
16597,0.99943656
16598,0.9487653
16599,0.95433646
16600,0.97858447
16601,0.9926764
16602,0.9999105
16603,0.9996259
16604,0.9933744
16605,0.9999471
16606,0.99607384
16607,0.539472
16608,0.9999727
16609,0.98180056
16610,0.9953744
16611,0.9995943
16612,0.99446857
16613,0.99758947
16614,0.99706703
16615,0.99745005
16616,0.8566568
16617,0.99951327
16618,0.9990325
16619,0.9897606
16620,0.9994753
16621,0.9951141
16622,0.9452956
16623,0.9964263
16624,0.99725705
16625,0.9995617
16626,0.97958606
16627,0.9494214
16628,0.9851194
16629,0.9995484
16630,0.99990356
16631,0.99991775
16632,0.9934564
16633,0.99422014
16634,0.91233975
16635,0.99243426
16636,0.9417239
16637,0.9997527
16638,0.99907136
16639,0.9938997
16640,0.9451678
16641,0.9982843
16642,0.993816
